,标识符,机型,始发地,出发,到达
2383,CES5582,A320,Dashuipo (WEH / ZSWH),Thu 09:10PM CST,Thu 10:42PM CST
2384,CES5364,A333,Changsha Huanghua Int'l (CSX / ZGHA),Thu 09:28PM CST,Thu 10:40PM CST
2385,CES5813,B738,Kunming Changshui Int'l (KMG / ZPPP),Thu 08:19PM CST,Thu 10:38PM CST
2386,CES5210,A321,Jieyang Chaoshan International Airport (SWA / ZGOW),Thu 09:24PM CST,Thu 10:34PM CST
2387,CQH8996,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Thu 08:47PM CST,Thu 10:32PM CST
2388,CES5358,A332,Shenzhen Bao'an Int'l (SZX / ZGSZ),Thu 08:51PM CST,Thu 10:28PM CST
2389,CHH7219,B738,Haikou Meilan Int'l (HAK / ZJHK),Thu 08:14PM CST,Thu 10:28PM CST
2390,CQH6344,A320,Lianyungang (LYG / ZSLG),Thu 09:33PM CST,Thu 10:25PM CST
2391,CQH8796,A320,Lanzhou Zhongchuan International (LHW / ZLLL),Thu 08:08PM CST,Thu 10:23PM CST
2392,CSH9128,B738,Hohhot Baita Int'l (HET / ZBHH),Thu 08:15PM CST,Thu 10:20PM CST
2393,CSH9542,A333,Chengdu Shuangliu Int'l (CTU / ZUUU),Thu 08:10PM CST,Thu 10:19PM CST
2394,CES5318,B773,Guangzhou Baiyun Int'l (CAN / ZGGG),Thu 08:44PM CST,Thu 10:18PM CST
2395,CCA1589,B789,Beijing Capital Int'l (PEK / ZBAA),Thu 08:33PM CST,Thu 10:14PM CST
2396,DKH1142,A21N,Guiyang Longdongbao (KWE / ZUGY),Thu 08:15PM CST,Thu 10:14PM CST
2397,CSH9102,B738,Beijing Capital Int'l (PEK / ZBAA),Thu 08:27PM CST,Thu 10:08PM CST
