,标识符,机型,始发地,出发,到达
4601,CHH7362,B738,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Wed 06:53PM CST,Wed 08:52PM CST
4602,CSZ9984,A320,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Wed 06:57PM CST,Wed 08:51PM CST
4603,JYH1102,B738,Hefei Xinqiao Airport (HFE / ZSOF),Wed 07:01PM CST,Wed 08:50PM CST
4604,CSN3426,A330,Chongqing Jiangbei Int'l (CKG / ZUCK),Wed 07:24PM CST,Wed 08:48PM CST
4605,CSN326,A333,Sydney (SYD / YSSY),Wed 02:42PM AEDT,Wed 08:46PM CST
4606,CSZ9830,B738,Wuxi (WUX / ZSWX),Wed 06:41PM CST,Wed 08:44PM CST
4607,CSN6289,B738,Wuhan Tianhe (WUH / ZHHH),Wed 07:14PM CST,Wed 08:43PM CST
4608,CQH8931,A320,Shanghai Hongqiao Int'l (SHA / ZSSS),Wed 06:37PM CST,Wed 08:42PM CST
4609,LKE9975,A320,Kunming Changshui Int'l (KMG / ZPPP),Wed 07:13PM CST,Wed 08:41PM CST
4610,CSN3895,B738,Jieyang Chaoshan International Airport (SWA / ZGOW),Wed 07:52PM CST,Wed 08:39PM CST
4611,CES5741,B738,Kunming Changshui Int'l (KMG / ZPPP),Wed 07:03PM CST,Wed 08:37PM CST
4612,CSN3895,B738,Jieyang Chaoshan International Airport (SWA / ZGOW),Wed 07:52PM CST,Wed 08:39PM CST
4613,CES5741,B738,Kunming Changshui Int'l (KMG / ZPPP),Wed 07:03PM CST,Wed 08:37PM CST
4614,CSZ9826,B738,Wuxi (WUX / ZSWX),Wed 06:30PM CST,Wed 08:35PM CST
4615,CSN6927,A330,Sanya Phoenix Int'l (SYX / ZJSY),Wed 07:29PM CST,Wed 08:34PM CST
4616,DKH1287,B789,Shanghai Hongqiao Int'l (SHA / ZSSS),Wed 06:29PM CST,Wed 08:33PM CST
4617,CSN3208,A21N,Xi'an Xianyang Int'l (XIY / ZLXY),Wed 06:24PM CST,Wed 08:32PM CST
4618,CSN3854,B738,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Wed 06:35PM CST,Wed 08:30PM CST
4619,CSN8207,A321,Shanghai Pudong Int'l (PVG / ZSPD),Wed 06:22PM CST,Wed 08:28PM CST
4620,CSN8102,A388,Narita Int'l (NRT / RJAA),Wed 04:46PM JST,Wed 08:26PM CST
4621,CCA4335,B738,Wanxian (WXN / ZUWX),Wed 06:46PM CST,Wed 08:25PM CST
4622,CCA1395,B738,Tianjin Binhai Int'l (TSN / ZBTJ),Wed 05:33PM CST,Wed 08:22PM CST
4623,CXA8301,B738,Xiamen Gaoqi Int'l (XMN / ZSAM),Wed 07:17PM CST,Wed 08:21PM CST
4624,CSN3776,A21N,Ningbo Lishe Int'l (NGB / ZSNB),Wed 06:18PM CST,Wed 08:19PM CST
